DEBUG | 17:26:20 76291 [Serial] phone downloaded packet (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864380 hopStart=1 relay=0x
DEBUG | 17:26:20 76291 [RadioIf] Started Tx (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864380 hopStart=1 relay=0xc4 pri
DEBUG | 17:26:20 76291 [RadioIf] 0 packets remain in the TX queue
DEBUG | 17:26:20 76291 [RadioIf] Packet TX: 321ms
DEBUG | 17:26:20 76291 [RadioIf] Completed sending (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864380 hopStart=1 relay=0
DEBUG | 17:26:21 76292 [RadioIf] Corrected frequency offset: -1264.582642
DEBUG | 17:26:21 76292 [RadioIf] Lora RX (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8.5 rxRSSI=-32 hopStart=1 relay=0x30)
DEBUG | 17:26:21 76292 [RadioIf] Packet RX: 321ms
DEBUG | 17:26:21 76292 [Router] Rx someone rebroadcasting for us (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8.5 rxRSSI=-32 
DEBUG | 17:26:21 76292 [Router] Didn't find pending packet
INFO  | 17:26:21 76292 [Router] Packet History - insert: Reusing slot aged 1.781s TRACE MATCHED PACKET
DEBUG | 17:26:21 76292 [Router] Ignore dupe incoming msg (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8.5 rxRSSI=-32 hopStart
DEBUG | 17:26:21 76292 [Router] cancelSending id=0x920bf529, removed=0
DEBUG | 17:26:21 76292 [Router] Incoming msg was filtered from 0xbb8106c4
DEBUG | 17:27:12 76343 [RadioIf] Corrected frequency offset: -1210.056763
DEBUG | 17:27:12 76343 [RadioIf] Lora RX (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxSNR=8.25 rxRSSI=-32 hopStart=1 relay=0x30)
DEBUG | 17:27:12 76343 [RadioIf] Packet RX: 321ms
INFO  | 17:27:12 76343 [Router] Packet History - insert: Reusing slot aged 4461.910s TRACE OLDEST SLOT
DEBUG | 17:27:12 76343 [Router] Use channel 0 (hash 0xec)
DEBUG | 17:27:12 76343 [Router] Use AES256 key!
DEBUG | 17:27:12 76343 [Router] decoded message (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864432 rxSNR=8.25 rxRSSI=-32 hopSt
DEBUG | 17:27:12 76344 [Router] handleReceived(REMOTE) (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864432 rxSNR=8.25 rxRSSI=-3
DEBUG | 17:27:12 76344 [Router] Module 'DeviceTelemetry' wantsPacket=1
INFO  | 17:27:12 76344 [Router] Received DeviceTelemetry from=0x6c743130, id=0xac454595, portnum=67, payloadlen=28
INFO  | 17:27:12 76344 [Router] (Received from 3130): air_util_tx=1.265639, channel_utilization=0.535000, battery_level=101, voltage=-0.001000
DEBUG | 17:27:12 76344 [Router] updateTelemetry REMOTE node=0x6c743130 
DEBUG | 17:27:12 76344 [Router] Node status update: 2 online, 3 total
DEBUG | 17:27:12 76344 [Router] Module 'DeviceTelemetry' considered
DEBUG | 17:27:12 76344 [Router] Module 'routing' wantsPacket=1
DEBUG | 17:27:12 76344 [Router] Routing sniffing (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864432 rxSNR=8.25 rxRSSI=-32 hopS
INFO  | 17:27:13 76344 [Router] Rebroadcast received message coming from 30
INFO  | 17:27:13 76344 [Router] Packet History - insert: Reusing slot aged 0.151s TRACE MATCHED PACKET
DEBUG | 17:27:13 76344 [Router] Use AES256 key!
DEBUG | 17:27:13 76344 [Router] enqueue for send (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864432 rxSNR=8.25 rxRSSI=-
DEBUG | 17:27:13 76344 [Router] txGood=2748,txRelay=1335,rxGood=2695,rxBad=21
DEBUG | 17:27:13 76344 [Router] rx_snr found. hop_limit:0 rx_snr:8.250000
DEBUG | 17:27:13 76344 [Router] rx_snr found in packet. Setting tx delay:2176
DEBUG | 17:27:13 76344 [Router] Delivering rx packet (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864432 rxSNR=8.25 rxRSSI=-32 
DEBUG | 17:27:13 76344 [Router] Update DB node 0x6c743130, rx_time=1785864432
INFO  | 17:27:13 76344 [Router] Sort took 0 milliseconds
DEBUG | 17:27:13 76344 [Router] Forwarding to phone (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864432 rxSNR=8.25 rxRSSI=-32 h
DEBUG | 17:27:13 76344 [Router] Module 'routing' considered
INFO  | 17:27:13 76344 Tell client we have new packets 4332
DEBUG | 17:27:13 76344 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:27:13 76344 [Serial] phone downloaded packet (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864432 rxSNR=8.25 rxRSSI=-
DEBUG | 17:27:15 76346 [RadioIf] Started Tx (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864432 rxSNR=8.25 rxRSSI=-32 hop
DEBUG | 17:27:15 76346 [RadioIf] 0 packets remain in the TX queue
DEBUG | 17:27:15 76346 [RadioIf] Packet TX: 321ms
DEBUG | 17:27:15 76346 [RadioIf] Completed sending (id=0xac454595 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864432 rxSNR=8.25 rxRSSI=
INFO  | 17:27:20 76351 [DeviceTelemetry] Send: air_util_tx=1.281778, channel_utilization=1.070000, battery_level=101, voltage=-0.001000, uptime=76351
DEBUG | 17:27:20 76351 [DeviceTelemetry] Partially randomized packet id 2260408618
DEBUG | 17:27:20 76351 [DeviceTelemetry] updateTelemetry LOCAL
DEBUG | 17:27:20 76351 [DeviceTelemetry] Node status update: 2 online, 3 total
INFO  | 17:27:20 76351 [DeviceTelemetry] Send packet to mesh
DEBUG | 17:27:20 76351 [DeviceTelemetry] Ignore update from self
DEBUG | 17:27:20 76351 [DeviceTelemetry] handleReceived(LOCAL) (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864440 priority=10)
DEBUG | 17:27:20 76351 [DeviceTelemetry] No modules interested in portnum=67, src=LOCAL
INFO  | 17:27:20 76351 [DeviceTelemetry] Packet History - insert: Reusing slot aged 4461.431s TRACE OLDEST SLOT
DEBUG | 17:27:20 76351 [DeviceTelemetry] Use AES256 key!
